[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 135K of event 'cycles:uppp'
# Event count (approx.): 6769303767
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    96.01%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     1.16%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     1.00%  mandelbrot_pth  mandelbrot_pth      [.] update_rgb_buffer
     0.87%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     0.24%  mandelbrot_pth  libc-2.27.so        [.] malloc
     0.17%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.14%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     0.14%  mandelbrot_pth  mandelbrot_pth      [.] allocate_image_buffer
     0.10%  mandelbrot_pth  mandelbrot_pth      [.] write_to_file
     0.09%  mandelbrot_pth  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.02%  mandelbrot_pth  mandelbrot_pth      [.] malloc@plt
     0.02%  mandelbrot_pth  libc-2.27.so        [.] @plt
     0.02%  mandelbrot_pth  mandelbrot_pth      [.] fwrite@plt
     0.02%  mandelbrot_pth  libc-2.27.so        [.] __mempcpy_avx_unaligned_erms
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     0.00%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_write@@GLIBC_2.2.5
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] pthread_create@@GLIBC_2.2.5
     0.00%  mandelbrot_pth  ld-2.27.so          [.] strcmp
     0.00%  mandelbrot_pth  libc-2.27.so        [.] sysmalloc
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_new_file_init_internal
     0.00%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c000158
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __memrchr_ifunc
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __pthread_initialize_minimal
     0.00%  mandelbrot_pth  libc-2.27.so        [.] intel_check_word.isra.0
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_vfscanf
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_map_object_deps
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_map_object
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_check_map_versions
     0.00%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_new_object
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_sysdep_start
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __sigsetjmp
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
